matrix_index	method	host_mode	case_name	devices	streams	submit_mode	stream_sync	process_sync	stream_start_gate	blocks	iterations	exit_code	dev_bw_gbps	start_skew_avg_us	group_wall_avg_us	wall_bw_gbps	log	submit_min_us	submit_max_us	submit_avg_us	submit_p50_us	submit_p90_us	copy_min_us	copy_max_us	copy_avg_us	copy_p50_us	copy_p90_us	start_skew_min_us	start_skew_max_us	start_skew_p50_us	start_skew_p90_us	group_wall_min_us	group_wall_max_us	group_wall_p50_us	group_wall_p90_us	log_dev_bw_gbps	log_wall_bw_gbps
44	ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	1	16	round-robin	stream	barrier	off	512	128	0		0	1689	50.881	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d1_s16_round_robin_stream.log	1278	1787	1474	1470	1574						0	0	0	0	1636	1852	1678	1735		50.881
45	ce	all	all_host_to_all_device_ce_multi_stream	1	16	round-robin	event	barrier	off	512	128	0	14.024	0	7916	10.856	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d1_s16_round_robin_event.log	1745	2097	1943	1956	2013	4988	7228	6128	6126	6692	0	0	0	0	6238	9574	8155	8643	14.024	10.856
46	ce	all	all_host_to_all_device_ce_multi_stream	1	16	round-robin	stream	barrier	off	512	128	0		0	7098	12.107	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d1_s16_round_robin_stream.log	1538	1809	1696	1712	1746						0	0	0	0	5680	7962	7280	7754		12.107
47	ffts	all	all_host_to_all_device_ffts_direct_h2d	1	16	round-robin	event	barrier	off	512	128	0	32.491	0	3214	26.738	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d1_s16_round_robin_event.log	1975	2889	2575	2619	2805	2063	2938	2645	2687	2863	0	0	0	0	2597	4374	3208	3388	32.491	26.738
48	ffts	all	all_host_to_all_device_ffts_direct_h2d	1	16	round-robin	stream	barrier	off	512	128	0		0	2065	41.616	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d1_s16_round_robin_stream.log	1444	2176	1941	1991	2100						0	0	0	0	1811	2254	2095	2178		41.616
49	ce	one_share	one_share_host_to_all_device_ce_multi_stream	8	1	stream-major	event	barrier	off	512	128	0	25.036	0	27606	24.904	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d8_s1_stream_major_event.log	1881	3847	2474	2521	3009	25496	30619	27461	27408	28784	0	1	1	1	25712	30769	27544	28912	25.036	24.904
50	ce	one_share	one_share_host_to_all_device_ce_multi_stream	8	1	stream-major	stream	barrier	off	512	128	0		1	33319	20.634	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d8_s1_stream_major_stream.log	1839	3220	2222	2227	2643						1	36	1	1	30346	37512	33349	34808		20.634
51	ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	8	1	stream-major	event	barrier	off	512	128	0	84.418	1	8547	80.438	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d8_s1_stream_major_event.log	1329	2261	1679	1718	1906	8043	8248	8144	8144	8195	0	2	1	1	8265	9746	8486	8649	84.418	80.438
52	ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	8	1	stream-major	stream	barrier	off	512	128	0		1	8211	83.729	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d8_s1_stream_major_stream.log	1436	4871	1941	1956	2103						1	33	1	1	8070	8416	8221	8266		83.729
53	ce	all	all_host_to_all_device_ce_multi_stream	8	1	stream-major	event	barrier	off	512	128	0	39.205	0	17651	38.95	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d8_s1_stream_major_event.log	1867	3807	2929	3000	3394	16422	18946	17536	17446	18420	0	1	1	1	16517	19044	17565	18507	39.205	38.95
54	ce	all	all_host_to_all_device_ce_multi_stream	8	1	stream-major	stream	barrier	off	512	128	0		3	16972	40.508	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d8_s1_stream_major_stream.log	2769	5710	3083	3052	3282						1	295	1	1	15638	18168	16929	17472		40.508
55	ffts	all	all_host_to_all_device_ffts_direct_h2d	8	1	stream-major	event	barrier	off	512	128	0	179.833	1	4193	163.964	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d8_s1_stream_major_event.log	2013	3450	2372	2366	2482	3741	4165	3823	3814	3873	1	1	1	1	4051	5163	4159	4277	179.833	163.964
56	ffts	all	all_host_to_all_device_ffts_direct_h2d	8	1	stream-major	stream	barrier	off	512	128	0		1	5272	130.406	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d8_s1_stream_major_stream.log	3837	5405	4464	4417	4852						1	18	1	1	5185	6084	5231	5377		130.406
57	ce	one_share	one_share_host_to_all_device_ce_multi_stream	8	1	round-robin	event	barrier	off	512	128	0	16.977	1	40706	16.889	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d8_s1_round_robin_event.log	1920	3012	2703	2843	2955	36599	44991	40497	40576	42448	1	20	1	1	36975	45106	40716	42653	16.977	16.889
58	ce	one_share	one_share_host_to_all_device_ce_multi_stream	8	1	round-robin	stream	barrier	off	512	128	0		1	41142	16.71	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d8_s1_round_robin_stream.log	1866	3380	2369	2342	3216						1	1	1	1	37157	68820	40841	42797		16.71
59	ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	8	1	round-robin	event	barrier	off	512	128	0	83.082	1	8677	79.232	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d8_s1_round_robin_event.log	1363	1722	1509	1504	1582	8166	8377	8275	8281	8335	0	10	1	1	8495	9146	8688	8772	83.082	79.232
60	ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	8	1	round-robin	stream	barrier	off	512	128	0		1	8222	83.617	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d8_s1_round_robin_stream.log	2323	3476	2609	2585	2774						1	3	1	1	8120	8703	8214	8292		83.617
61	ce	all	all_host_to_all_device_ce_multi_stream	8	1	round-robin	event	barrier	off	512	128	0	38.676	1	17905	38.397	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d8_s1_round_robin_event.log	1838	3913	2818	2612	3720	15895	19000	17776	17782	18339	1	1	1	1	16042	19142	17907	18504	38.676	38.397
62	ce	all	all_host_to_all_device_ce_multi_stream	8	1	round-robin	stream	barrier	off	512	128	0		1	17870	38.472	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d8_s1_round_robin_stream.log	2216	3921	2514	2448	2810						1	19	1	1	15968	18840	17868	18413		38.472
63	ffts	all	all_host_to_all_device_ffts_direct_h2d	8	1	round-robin	event	barrier	off	512	128	0	152.778	1	4691	146.557	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d8_s1_round_robin_event.log	2829	3839	3250	3243	3437	4428	4936	4500	4500	4533	0	22	1	1	4583	6170	4672	4725	152.778	146.557
64	ffts	all	all_host_to_all_device_ffts_direct_h2d	8	1	round-robin	stream	barrier	off	512	128	0		1	4190	164.081	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d8_s1_round_robin_stream.log	1783	3527	1968	1956	2037						1	6	1	1	4079	4672	4181	4244		164.081
65	ce	one_share	one_share_host_to_all_device_ce_multi_stream	8	4	stream-major	event	barrier	off	512	128	0	36.733	1	25531	26.928	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d8_s4_stream_major_event.log	1833	3588	2450	2460	2746	14491	115514	18716	15605	16607	1	7	1	1	20348	115615	22744	24307	36.733	26.928
66	ce	one_share	one_share_host_to_all_device_ce_multi_stream	8	4	stream-major	stream	barrier	off	512	128	0		1	25958	26.485	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d8_s4_stream_major_stream.log	2068	2789	2409	2421	2512						0	2	1	1	14509	113078	15740	104970		26.485
67	ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	8	4	stream-major	event	barrier	off	512	128	0	103.197	1	7229	95.103	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d8_s4_stream_major_event.log	1486	2415	1866	1846	2015	6622	7381	6662	6656	6677	1	17	1	1	7073	8455	7204	7304	103.197	95.103
68	ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	8	4	stream-major	stream	barrier	off	512	128	0		1	6731	102.139	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d8_s4_stream_major_stream.log	1590	2616	1930	1882	2204						1	8	1	1	6685	6819	6731	6760		102.139
69	ce	all	all_host_to_all_device_ce_multi_stream	8	4	stream-major	event	barrier	off	512	128	0	81.787	1	11030	62.33	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d8_s4_stream_major_event.log	1653	3366	2651	2643	2822	7819	9089	8406	8377	8810	1	18	1	1	10054	12768	11025	11669	81.787	62.33
70	ce	all	all_host_to_all_device_ce_multi_stream	8	4	stream-major	stream	barrier	off	512	128	0		1	16121	42.646	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d8_s4_stream_major_stream.log	2626	3630	3226	3283	3480						1	17	1	1	8095	109243	9286	10853		42.646
71	ffts	all	all_host_to_all_device_ffts_direct_h2d	8	4	stream-major	event	barrier	off	512	128	0	196.429	1	3768	182.458	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d8_s4_stream_major_event.log	2845	3358	3103	3107	3195	3156	3771	3500	3511	3615	1	1	1	1	3454	4790	3714	4009	196.429	182.458
72	ffts	all	all_host_to_all_device_ffts_direct_h2d	8	4	stream-major	stream	barrier	off	512	128	0		1	3886	176.917	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d8_s4_stream_major_stream.log	2536	3541	2926	2925	3007						1	16	1	1	3779	4248	3881	3933		176.917
73	ce	one_share	one_share_host_to_all_device_ce_multi_stream	8	4	round-robin	event	barrier	off	512	128	0	37.902	1	25306	27.167	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d8_s4_round_robin_event.log	2129	3781	2744	2662	3352	13510	111562	18139	15286	16221	1	30	1	1	20210	111644	22688	24493	37.902	27.167
74	ce	one_share	one_share_host_to_all_device_ce_multi_stream	8	4	round-robin	stream	barrier	off	512	128	0		1	23359	29.432	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d8_s4_round_robin_stream.log	2346	3038	2637	2628	2759						1	1	1	1	12160	113842	13837	103675		29.432
75	ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	8	4	round-robin	event	barrier	off	512	128	0	105.203	1	7939	86.598	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d8_s4_round_robin_event.log	1431	2238	1767	1781	1895	6482	6583	6535	6539	6562	1	15	1	1	7322	9034	7895	8346	105.203	86.598
76	ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	8	4	round-robin	stream	barrier	off	512	128	0		1	6616	103.915	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d8_s4_round_robin_stream.log	1179	1933	1496	1480	1689						0	14	1	1	6597	6664	6615	6627		103.915
